the	definite-article,adverb
course	noun,verb
economics	noun
hard	adjective,adverb
add	verb
company	noun,verb
known	adjective
love	noun
past	adjective,noun,preposition,adverb
price	noun,verb
size	noun,verb,adjective
away	adverb,adjective
big	adjective,noun
internet	noun
possible	adjective,noun
television	noun
three	number
understand	verb
various	adjective
yourself	pronoun
card	noun,verb
difficult	adjective
including	preposition
list	noun,verb
mind	noun,verb
particular	adjective,noun
real	adjective,adverb,noun
science	noun
trade	noun,verb
consider	verb
either	conjunction,adjective
library	noun
likely	adverb
nature	noun
fact	noun
line	noun,verb
product	noun
care	noun,verb
group	noun,verb
idea	noun
risk	noun,verb
several	adjective
someone	pronoun
temperature	noun
united	adjective
word	noun,verb,interjection
fat	noun,adjective,verb
force	noun,verb
key	noun,adjective,verb
light	noun,verb,adjective
simply	adverb
today	adverb,noun
training	noun,adjective
until	preposition
major	adjective,noun,verb
name	noun,verb,adjective
personal	adjective,noun
school	noun,verb
top	noun,adjective,verb
current	adjective,noun
generally	adverb
historical	adjective
investment	noun
left	adjective,adverb
national	adjective,noun
amount	noun,verb
level	noun,adjective,verb
order	noun,verb
practice	noun,verb
research	noun,verb
sense	noun,verb
service	noun,verb
area	noun
cut	verb,noun
hot	adjective
instead	adverb
least	adjective,adverb
natural	adjective,noun,adverb
physical	adjective,noun
piece	noun,verb
show	verb,noun
society	noun
try	verb,noun
check	verb,noun,interjection
choose	verb
develop	verb
second	number,noun
useful	adjective
web	noun,verb
activity	noun
boss	noun,verb,adjective
short	adjective,adverb,noun,verb
story	noun
call	verb,noun
industry	noun
last	adjective,adverb,noun,verb
media	noun
mental	adjective
move	verb,noun
pay	verb,noun
sport	noun,verb
thing	noun
actually	adverb
against	preposition
far	adverb,adjective
fun	noun,adjective,verb
house	noun,adjective,verb
let	verb,noun
page	noun,verb
remember	verb
term	noun,verb
test	noun,verb
within	preposition,adverb
along	preposition,adverb
answer	noun,verb
increase	verb,noun
oven	noun
quite	adverb,interjection
scared	adjective
single	adjective,noun,verb
sound	noun,verb,adjective
again	adverb
community	noun
definition	noun
focus	noun,verb
individual	adjective,noun
matter	noun,verb
safety	noun
turn	verb,noun
everything	pronoun
kind	noun,adjective
quality	noun
soil	noun,verb
ask	verb,noun
board	noun,verb
buy	verb,noun
development	noun
guard	verb,noun
hold	verb,noun
language	noun
later	adverb,interjection
main	adjective,noun
offer	verb,noun
oil	noun,verb
picture	noun,verb
potential	adjective,noun
professional	adjective,noun
rather	adverb
access	noun,verb,adjective
additional	adjective
almost	adverb
especially	adverb
garden	noun,verb
international	adjective,noun
lower	adjective,adverb
management	noun
open	adjective,verb,noun
player	noun
range	noun,verb
rate	noun,verb
reason	noun,verb
travel	verb,noun
variety	noun
video	noun
week	noun
above	adverb,preposition,adjective,noun
according	adjective,verb
cook	verb,noun
determine	verb
future	noun,adjective
site	noun,verb
alternative	adjective,noun
demand	noun,verb
ever	adverb
exercise	noun,verb
following	preposition,noun,adjective
image	noun,verb
quickly	adverb
special	adjective,noun
working	adjective,noun
case	noun,verb
cause	noun,verb
coast	noun,verb
probably	adverb
security	noun
true	adjective,adverb,verb
whole	adjective,noun,adverb
action	noun,adjective
age	noun,verb
among	preposition
bad	noun,adverb,adjective
boat	noun,verb
country	noun
dance	verb,noun
exam	noun
excuse	verb,noun
grow	verb
movie	noun
organization	noun
record	noun,verb
result	noun,verb
section	noun,verb
across	preposition,adverb,adjective
already	adverb
below	adverb
building	noun,verb
mouse	noun,verb
allow	verb
cash	noun,verb
class	noun,verb,adjective
clear	adjective,adverb,verb
dry	adjective,verb,noun
easy	adjective,adverb,interjection
emotional	adjective
equipment	noun
live	verb,adjective,adverb
nothing	noun,pronoun,adjective,adverb
period	noun,adjective
physics	noun
plan	noun,verb
store	noun,verb
tax	noun,verb
analysis	noun
cold	adjective,noun,adverb
commercial	adjective,noun
directly	adverb
full	adjective,adverb,noun,verb
involved	past,verb
itself	pronoun
low	adjective,noun,adverb,verb
old	adjective
policy	noun
political	adjective
purchase	verb,noun
series	noun
side	noun,verb
subject	noun,adjective,adverb,verb
supply	verb
therefore	adverb
thought	noun
basis	noun
boyfriend	noun
deal	verb,noun
direction	noun
mean	verb,adjective,noun
primary	adjective,noun
space	noun,verb
strategy	noun
technology	noun
worth	adjective,noun
army	noun
camera	noun
fall	verb,noun
freedom	noun
paper	noun
rule	noun,verb
similar	adjective
stock	noun,adjective,verb
weather	noun,verb
yet	adverb,conjunction
bring	verb
chance	noun,adjective,verb
environment	noun
everyone	pronoun
figure	noun,verb
improve	verb
man	noun,verb,interjection
model	noun,verb
necessary	adjective,noun
positive	adjective,noun
produce	verb,noun
search	verb,noun
source	noun,verb
beginning	noun,adjective,verb
child	noun
earth	noun,verb
else	adverb
healthy	adjective
instance	noun
maintain	verb
month	noun
present	adjective,noun,verb
program	noun,verb
spend	verb,noun
talk	verb,noun
truth	noun
upset	verb,adjective
begin	verb
chicken	noun,adjective
close	adjective,adverb,verb,noun
creative	adjective,noun
design	noun,verb
feature	noun,verb
financial	adjective
head	noun,adjective,verb
marketing	noun
material	noun,adjective
medical	adjective
purpose	noun,verb
question	noun,verb
rock	noun,verb
salt	noun,adjective,verb
tell	verb,noun
themselves	pronoun
traditional	adjective
university	noun
writing	noun
act	noun,verb
article	noun
birth	noun,verb
car	noun,adjective
cost	verb,noun
department	noun
difference	noun
dog	noun,verb
drive	verb,noun
exist	verb
federal	adjective
goal	noun
green	adjective,noun,verb
late	adjective,adverb,noun
news	noun
object	noun,verb
scale	noun,verb
sun	noun,verb
support	verb,noun
tend	verb
thus	adverb
audience	noun
enjoy	verb
entire	adjective
fishing	noun
fit	adjective,verb,noun
glad	adjective,noun
growth	noun
income	noun
marriage	noun
note	noun,verb
perform	verb
profit	noun,verb
proper	adjective,adverb,noun
related	past,verb
remove	verb,noun
rent	noun,verb
return	verb,noun
run	verb,noun
speed	noun,verb
strong	adjective
style	noun,verb
throughout	preposition
user	noun
war	noun,verb
actual	adjective
appropriate	verb,adjective
bank	noun,verb
combination	noun
complex	adjective,noun,verb
content	adjective,verb,noun
craft	noun,verb
due	adjective,noun,adverb
easily	adverb
effective	adjective,noun
eventually	adverb
exactly	adverb
failure	noun
half	noun,predeterminer,adverb
inside	noun,adjective,preposition
meaning	noun
medicine	noun
middle	adjective,noun
outside	noun,adjective,preposition
philosophy	noun
regular	adjective,noun
reserve	verb,noun
standard	noun,adjective
bus	noun,verb
decide	verb
exchange	noun,verb
eye	noun,verb
fast	adjective,adverb,verb
fire	noun,verb
identify	verb
independent	adjective,noun
leave	verb,noun
original	adjective,noun
position	noun,verb
pressure	noun,verb
reach	verb,noun
rest	verb,noun
serve	verb,noun
stress	noun,verb
teacher	noun
watch	verb,noun
wide	adjective,adverb
advantage	noun,verb
beautiful	adjective,noun,interjection
benefit	noun,verb
box	noun,verb
charge	verb,noun
communication	noun
complete	adjective,verb
continue	verb
frame	noun,verb
issue	noun,verb
limited	past,verb
night	noun
protect	verb
require	verb
significant	adjective
step	noun,verb
successful	adjective
unless	conjunction
active	adjective,noun
break	verb,noun
chemistry	noun
cycle	noun,verb
disease	noun
disk	noun
electrical	adjective
energy	noun
expensive	adjective
face	noun,verb
interested	past,verb
item	noun,adverb
metal	noun,verb
nation	noun
negative	adjective,noun,interjection,verb
occur	verb
paint	noun,verb
pregnant	adjective
review	noun,verb
road	noun
role	noun
room	noun,verb
safe	adjective,noun
screen	noun,verb
soup	noun
stay	verb,noun
structure	noun,verb
view	noun,verb
visit	verb,noun
visual	adjective,noun
write	verb
wrong	adjective,adverb,noun,verb
account	noun,verb
advertising	noun
affect	verb,noun
ago	adjective,adverb
anyone	pronoun
approach	verb
avoid	verb
ball	noun,verb
behind	preposition,adverb,adjective,noun
certainly	adverb
concerned	past,verb
cover	verb,noun
discipline	noun,verb
location	noun
medium	noun,adjective
normally	adverb
prepare	verb
quick	adjective,adverb,noun
ready	adjective,verb
report	verb,noun
rise	verb,noun
share	noun,verb
success	noun
addition	noun
apartment	noun
balance	noun,verb
bit	noun,verb
black	noun,verb,adjective,adverb
bottom	noun,verb,adjective
build	verb
choice	noun,adjective
education	noun
gift	noun,verb
impact	noun,verb
machine	noun,verb
math	noun
moment	noun
painting	noun
politics	noun
shape	noun,verb
straight	adjective,adverb,noun
tool	noun,verb
walk	verb,noun
white	adjective,noun,verb
wind	noun,verb
achieve	verb
address	noun,verb
attention	noun
average	noun,verb,adjective
believe	verb
beyond	preposition,noun
career	noun,verb,adjective
culture	noun,verb
decision	noun
direct	adjective,adverb,verb
event	noun
excellent	adjective,interjection
extra	adjective,adverb,noun
intelligent	adjective
interesting	adjective
junior	adjective,noun
morning	noun,adverb
pick	verb,noun
poor	adjective
pot	noun,verb
pretty	adjective,adverb,noun,verb
property	noun
receive	verb
seem	verb
shopping	noun
sign	noun,verb
student	noun
table	noun,verb
task	noun,verb
unique	adjective,noun
wood	noun
anything	pronoun,noun,adverb
classic	adjective,noun
competition	noun
condition	noun,verb
contact	noun,verb
credit	noun,verb
currently	adverb
discuss	verb
distribution	noun
egg	noun,verb
entertainment	noun
final	adjective,noun
happy	adjective
hope	noun,verb
ice	noun,verb
lift	verb,noun
mix	verb,noun
network	noun,verb
north	noun,adjective,adverb
office	noun
overall	adjective,adverb,noun
population	noun
president	noun
private	adjective,noun
realize	verb
responsible	adjective
separate	adjective,verb,noun
square	noun,adjective,adverb
stop	verb,noun
teach	verb,noun
unit	noun
western	adjective,noun
yes	interjection
alone	adjective,adverb
attempt	noun,verb
category	noun
cigarette	noun
concern	verb,noun
contain	verb
context	noun
cute	adjective
date	noun,verb
effect	noun,verb
extremely	adverb
familiar	adjective,noun
finally	adverb
fly	verb,noun
follow	verb
helpful	adjective
introduction	noun
link	noun,verb
official	adjective,noun
opportunity	noun
perfect	adjective,verb,noun
performance	noun
post	noun,verb,adverb
recent	adjective
refer	verb
solve	verb
star	noun,verb
voice	noun,verb
willing	adjective
born	verb,adjective,past-particple
bright	adjective,adverb,noun
broad	adjective,noun
capital	noun,adjective
challenge	noun,verb,adjective
comfortable	adjective,noun
constantly	adverb
describe	verb
despite	preposition
driver	noun
flat	adjective,adverb,noun,verb
flight	noun
friend	noun,verb
gain	verb,noun
him	pronoun
length	noun
magazine	noun
maybe	adverb,noun
newspaper	noun
nice	adjective
prefer	verb
prevent	verb
properly	adverb
relationship	noun
rich	adjective,noun
save	verb,noun,preposition
self	noun,pronoun,adjective,verb
shot	noun,adjective
soon	adverb
specifically	adverb
stand	verb,noun
teaching	noun
warm	adjective,verb
wonderful	adjective
young	adjective,noun
ahead	adverb
brush	noun,verb
cell	noun
couple	noun,verb
daily	adverb
dealer	noun
debate	noun,verb
discover	verb
ensure	verb
exit	noun,verb
expect	verb
experienced	past,verb
fail	verb,noun
finding	noun
front	noun,adjective,verb,interjection
function	noun,verb
heavy	adjective,noun,adverb
hello	interjection,noun
highly	adverb
immediately	adverb
impossible	adjective
invest	verb
lack	noun,verb
lake	noun
lead	verb,noun
listen	verb,noun
living	noun,adjective
member	noun
message	noun
phone	noun
plant	noun,verb
plastic	noun,adjective
reduce	verb
relatively	adverb
scene	noun
serious	adjective
slowly	adverb
speak	verb
spot	noun,verb
summer	noun,verb
taste	noun,verb
theme	noun,verb
towards	preposition
track	noun,verb
valuable	adjective,noun
whatever	pronoun,adverb,interjection
wing	noun,verb
worry	verb,noun
appear	verb
appearance	noun
association	noun
brain	noun,verb
button	noun,verb
click	noun,verb
concept	noun
correct	adjective,verb
customer	noun
death	noun
desire	noun,verb
discussion	noun
explain	verb
explore	verb
express	verb,adjective,adverb,noun
fairly	adverb
fixed	past,verb
foot	noun,verb
gas	noun,verb
handle	verb,noun
housing	noun
huge	adjective
inflation	noun
influence	noun,verb
insurance	noun
involve	verb
leading	adjective,noun
lose	verb
meet	verb,noun
mood	noun
notice	noun,verb
primarily	adverb
rain	noun,verb
rare	adjective
release	verb,noun
sell	verb,noun
slow	adjective,adverb,verb
technical	adjective
typical	adjective
upon	preposition
wall	noun,verb
woman	noun
advice	noun
afford	verb
agree	verb
base	noun,verb,adjective
blood	noun
clean	adjective,adverb,verb
competitive	adjective
completely	adverb
critical	adjective
damage	noun,verb
distance	noun,verb
effort	noun
electronic	adjective
expression	noun
feeling	noun,adjective
finish	verb,noun
fresh	adjective,adverb
hear	verb
immediate	adjective
importance	noun
normal	adjective,noun
opinion	noun
otherwise	adverb,adjective
pair	noun,verb
payment	noun
plus	preposition,adjective,noun,conjunction
press	verb,noun
reality	noun
remain	verb
represent	verb
responsibility	noun
ride	verb,noun
savings	noun,adjective,preposition
secret	adjective,noun
situation	noun
skill	noun
spread	verb,noun
spring	verb,noun
staff	noun,verb
statement	noun
sugar	noun,verb
target	noun,verb
text	noun,verb
tough	adjective,noun
ultimately	adverb
wait	verb,noun
wealth	noun
whenever	conjunction,adverb
whose	pronoun
widely	adverb
animal	noun,adjective
application	noun
apply	verb
author	noun,verb
aware	adjective
brown	adjective,noun,verb
budget	noun,adjective,verb
cheap	adjective,adverb
city	noun
complicated	past,verb
county	noun
deep	adjective,noun,adverb
depth	noun
discount	noun,verb,adjective
display	verb,noun
educational	adjective
environmental	adjective
estate	noun
file	noun,verb
flow	verb,noun
forget	verb
foundation	noun
global	adjective
grandmother	noun
ground	noun,verb,adjective
heart	noun
hit	verb,noun
legal	adjective
lesson	noun,verb
minute	noun,adjective,verb
near	adverb,preposition,adjective,verb
objective	adjective,noun
officer	noun,verb
perspective	noun
phase	noun,verb
photo	noun
recently	adverb
recipe	noun
recommend	verb
reference	noun,verb,adjective
register	noun,verb
relevant	adjective
rely	verb
secure	adjective,verb
seriously	adverb
shoot	verb,noun,interjection
sky	noun,verb
stage	noun,verb
stick	noun,verb
studio	noun
thin	adjective,adverb,verb
title	noun,verb
topic	noun
touch	verb,noun
trouble	noun,verb
vary	verb
accurate	adjective
advanced	past,verb,adjective,noun
bowl	noun,verb
bridge	noun,verb
campaign	noun,verb
cancel	verb,noun
capable	adjective
character	noun,adjective,verb
chemical	adjective,noun
club	noun,verb
collection	noun
cool	adjective,adverb,noun,verb
cry	verb,noun,idiom
dangerous	adjective
depression	noun
dump	verb,noun,idiom
edge	noun,verb,idiom
evidence	noun,verb,idiom
extreme	adjective,noun
fan	noun,verb,idiom
frequently	adverb
fully	adverb
generate	verb
imagination	noun
letter	noun,verb,idiom
lock	noun,verb,idiom
maximum	noun,adjective
mostly	adverb
myself	pronoun
naturally	adverb
nearly	adverb
novel	noun,adjective
obtain	verb
occasionally	adverb
option	noun,verb
organized	past,verb
pack	noun,verb,adjective,idiom
park	noun,verb
passion	noun
percentage	noun
plenty	noun,adjective,adverb
push	verb,noun,idiom
quarter	noun,verb,adjective
resource	noun
select	verb,adjective
setting	noun
skin	noun,verb
sort	noun,verb
weight	noun,verb
accept	verb
ad	noun
agency	noun
baby	noun,verb,adjective
background	noun,adjective
carefully	adverb
carry	noun,verb
clearly	adverb
college	noun
communicate	verb
complain	verb
conflict	verb,noun
connection	noun
criticism	noun
debt	noun
depend	verb
description	noun
die	verb,idiom
dish	noun,verb,idiom
dramatic	adjective
eat	verb,noun,idiom
efficient	adjective
enter	verb
essentially	adverb
exact	adjective,verb
factor	noun,verb
fair	adjective,adverb,noun,idiom
fill	verb,noun,idiom
fine	adjective,adverb,verb,noun
formal	adjective,noun,adverb
forward	adverb,adjective,noun,verb
fruit	noun,verb
glass	noun,adjective,verb
happen	verb
indicate	verb
joint	noun,adjective,verb,idiom
jump	verb,noun,adjective,adverb
kick	verb,noun,idiom
master	noun,adjective,verb
memory	noun
muscle	noun,verb,adjective
opposite	adjective,noun,preposition,adverb
pass	verb,noun,idiom
patience	noun
pitch	verb,noun
possibly	adverb
powerful	adjective
red	noun,adjective,idiom
remote	adjective,noun
secretary	noun
slightly	adverb
solution	noun
somewhat	adverb
strength	noun,idiom
suggest	verb
survive	verb
total	adjective,noun,verb
traffic	noun,verb
treat	verb,noun
trip	noun,verb,idiom
vast	adjective,noun
vegetable	noun,adjective
abuse	verb,noun
administration	noun
appeal	noun,verb
appreciate	verb
aspect	noun
attitude	noun
beat	verb,noun,adjective
burn	verb,noun
chart	noun,verb
compare	verb
deposit	verb,noun
director	noun
equally	adverb
foreign	adjective
gear	noun,verb,adjective,idiom
greatly	adverb
hungry	adjective
ideal	noun,adjective
imagine	verb
kitchen	noun,adjective
land	noun,verb,idiom
log	noun,verb
lost	adjective,verb,idiom
manage	verb
mother	noun,adjective,verb,idiom
necessarily	adverb
net	noun,verb
party	noun,adjective,verb
personality	noun
personally	adverb
practical	adjective
principle	noun,idiom
print	verb,noun,adjective,idiom
psychological	adjective
psychology	noun
raise	verb,noun,idiom
rarely	adverb
recommendation	noun
regularly	adverb
relative	noun,adjective
response	noun
sale	noun,idiom
season	noun,verb,idiom
selection	noun
severe	adjective
signal	noun,adjective,verb
similarly	adverb
sleep	verb,noun,idiom
smooth	adjective,adverb,verb,noun
somewhere	adverb,noun
spirit	noun,verb,idiom
storage	noun
street	noun,adjective,idiom
suitable	adjective
tree	noun,verb,idiom
version	noun
wave	noun,verb,idiom
advance	verb,noun,adjective
alcohol	noun
anywhere	adverb,noun
argument	noun
basically	adverb
belt	noun,verb
bench	noun,verb
closed	past,verb
closely	adverb
commission	noun,verb
complaint	noun
connect	verb,adjective
consist	verb,noun
contract	noun
contribute	verb,idiom
copy	noun,verb,idiom
dark	adjective,noun,idiom
differ	verb
double	adjective,noun,verb,adverb
draw	verb,noun,idiom
drop	noun,verb
effectively	adverb
emphasis	noun
encourage	verb
equal	adjective,noun,verb
everybody	pronoun
expand	verb
firm	adjective,verb,adverb,noun
fix	verb,noun,idiom
frequent	adjective,verb
highway	noun
hire	verb,noun,adjective,idiom
initially	adverb
internal	adjective,noun
join	verb,noun
kill	verb,noun,idiom
literally	adverb
loss	noun
mainly	adverb
membership	noun
merely	adverb
minimum	noun,adjective
numerous	adjective
path	noun,idiom
possession	noun
preparation	noun
progress	noun,verb,idiom
project	noun,verb
prove	verb
react	verb
recognize	verb
relax	verb
replace	verb
sea	noun,adjective,idiom
sensitive	adjective,noun
sit	verb,idiom
south	noun,adjective,adverb,verb
status	noun,adjective
steak	noun
stuff	noun,verb
sufficient	adjective
tap	verb,noun
ticket	noun,verb,idiom
tour	noun,verb
union	noun
unusual	adjective
win	verb,noun
agreement	noun
angle	noun,verb
attack	verb,noun
blue	noun,verb,adjective
borrow	verb
breakfast	noun,verb
cancer	noun
claim	verb,noun
confidence	noun,idiom
consistent	adjective
constant	adjective,noun
cultural	adjective
currency	noun
daughter	noun,adjective
degree	noun,idiom
doctor	noun,verb
dot	noun,verb,idiom
drag	verb,noun,adjective,idiom
dream	noun,verb,adjective
drink	verb,noun
duty	noun,idiom
earn	verb
emphasize	verb
employment	noun
enable	verb
engineering	noun
entry	noun
essay	noun,verb
existing	adjective
famous	adjective
father	noun,verb
fee	noun,verb
finance	noun,verb
gently	adverb
guess	verb,noun,idiom
hopefully	adverb
hour	noun,adjective,idiom
interaction	noun
juice	noun,verb,idiom
limit	noun,verb
luck	noun,verb,idiom
milk	noun,verb,idiom
minor	adjective,noun,verb
mixed	past,verb
mixture	noun
mouth	noun,verb,idiom
nor	conjunction
operate	verb
originally	adverb
peace	noun,interjection,verb,idiom
pipe	noun,verb
please	adverb,verb,idiom
preference	noun
previous	adjective,idiom
pull	verb,noun
pure	adjective
raw	adjective,noun,idiom
reflect	verb
region	noun
republic	noun
roughly	adverb
seat	noun,verb
send	verb
significantly	adverb
soft	adjective,noun,adverb,interjection
solid	adjective,noun
stable	noun,verb
storm	noun,verb,idiom
substance	noun,idiom
team	noun,verb,adjective
tradition	noun
trick	noun,adjective,verb,idiom
virus	noun
wear	verb,noun,idiom
weird	adjective,noun
wonder	verb,noun,idiom
actor	noun
afraid	adjective
afternoon	noun,adjective
amazing	adjective,verb
annual	adjective,noun
anticipate	verb
assume	verb
bat	noun,verb
beach	noun,verb
blank	noun,verb,adjective
busy	adjective,verb
catch	noun,verb
chain	noun,verb
classroom	noun
consideration	noun,idiom
count	verb,noun,adjective,idiom
cream	noun,verb,adjective,idiom
crew	noun,verb
dead	adjective,noun,adverb,idiom
delivery	noun
detail	noun,verb,idiom
detailed	past,verb
device	noun
difficulty	noun
doubt	verb,noun,idiom
drama	noun
election	noun
engage	verb
engine	noun
enhance	verb
examine	verb
false	adjective,adverb,idiom
feed	verb,noun,idiom
football	noun
forever	adverb,noun,idiom
gold	noun,adjective
guidance	noun
hotel	noun
impress	verb,noun
install	verb
interview	noun,verb
kid	noun,verb,adjective
mark	noun,verb,idiom
match	noun,verb
mission	noun,adjective
nobody	pronoun,noun
obvious	adjective
ourselves	pronoun
owner	noun
pain	noun,verb,idiom
participate	verb
pleasure	noun,verb
priority	noun
protection	noun
repeat	verb,noun
round	adjective,noun,adverb,verb
score	noun,verb,idiom
screw	noun,verb,idiom
seek	verb,idiom
sex	noun,verb,idiom
sharp	adjective,verb,adverb,noun
shop	noun,verb,interjection,idiom
shower	noun,verb,idiom
sing	verb,noun
slide	verb,noun,idiom
strip	verb,noun
suggestion	noun
suit	noun,verb,idiom
tension	noun
thick	adjective,adverb,noun,idiom
tone	noun,verb
totally	adverb
twice	adverb
variation	noun
whereas	conjunction,noun
window	noun,verb
wise	adjective,verb,idiom
wish	verb,noun
agent	noun,adjective,verb
anxiety	noun
atmosphere	noun
awareness	noun
band	noun,verb
bath	noun
block	noun,verb
bone	noun,verb,adverb
bread	noun
calendar	noun,verb
candidate	noun
cap	noun,verb
careful	adjective
climate	noun
coat	noun,verb
collect	verb,adverb,noun
combine	verb,noun
command	verb,noun
comparison	noun
confusion	noun
construction	noun
contest	noun,verb
corner	noun,adjective,verb,idiom
court	noun,verb,idiom
cup	noun,verb
dig	verb,noun
district	noun,verb
divide	verb,noun
door	noun,idiom
east	noun,adjective,adverb
elevator	noun
elsewhere	adverb
emotion	noun
employee	noun
employer	noun
equivalent	adjective,noun
everywhere	adverb
except	preposition,conjunction,idiom
finger	noun,verb,idiom
garage	noun,verb
guarantee	noun,verb
guest	noun
hang	verb,noun,idiom
height	noun
himself	pronoun
hole	noun,verb,idiom
hook	noun,verb,idiom
hunt	verb,noun
implement	noun,verb
initial	adjective,noun,verb
intend	verb
introduce	verb
latter	adjective
layer	noun,verb
leadership	noun
lecture	noun,verb
lie	noun,verb,idiom
mall	noun
manager	noun
manner	noun,idiom
march	verb,noun,idiom
married	past,verb,adjective,noun
meeting	noun,idiom
mention	verb,noun,idiom
narrow	adjective,verb,noun
nearby	adjective,adverb
neither	conjunction,adjective,pronoun
nose	noun,verb,idiom
obviously	adverb
operation	noun
parking	noun,adjective
partner	noun,verb
perfectly	adverb
